,NetID,Name,Last_Name,Email,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Grade ,Grade_2,Grade_3,Grade_4,Grade_5
0,abg77872,greer, april blake,april.greer@univ.edu,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100,8,11,13,13,12
1,aes07091,smith, andrea erica,andrea.smith@univ.edu,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100,5,10,7,12,12
2,ajt73762,terry, amy justin,amy.terry@univ.edu,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100,4,12,9,5,7
3,akr14831,rodriguez, alexander katelyn,alexander.rodriguez@univ.edu,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100,11,13,16,11,7
4,alw07647,white, amy leslie,amy.white@univ.edu,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100,7,14,15,11,4
5,amc28428,cooper, adam melvin,adam.cooper@univ.edu,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100,4,10,16,7,12
6,ara97741,adams, amy robert,amy.adams@univ.edu,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,9,11,12,8,10
7,asm59771,martin, ashley sara,ashley.martin@univ.edu,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100,5,7,8,13,11
8,axc64717,curry, alec,alec.curry@univ.edu,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100,9,9,9,12,11
9,axd11293,daniels, amber,amber.daniels@univ.edu,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100,7,15,16,5,6
10,axd31221,dunlap, angela,angela.dunlap@univ.edu,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100,6,11,11,11,6
11,axd67070,dunn, amy,amy.dunn@univ.edu,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100,10,12,6,13,6
12,axf16145,foster, ashlee,ashlee.foster@univ.edu,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100,5,12,17,14,12
13,axl60952,lester, aaron,aaron.lester@univ.edu,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100,6,9,10,8,8
14,axm26865,miller, anthony,anthony.miller@univ.edu,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100,9,8,13,7,12
15,axw80146,warren, angela,angela.warren@univ.edu,Angela,Warren,54.0,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100,8,14,10,5,10
