,NetID,Name,Last_Name,Email,Exam 1 Score,Exam 2 Score,Exam 3 Score,Final Quizes Grade,Final Home Work
0,abg77872,greer, april blake,april.greer@univ.edu,0.74,0.71,0.94,0.8571428571428571,0.7472972972972973
1,aes07091,smith, andrea erica,andrea.smith@univ.edu,0.66,0.97,0.86,0.8571428571428571,0.8351351351351352
2,ajt73762,terry, amy justin,amy.terry@univ.edu,0.6,0.81,0.79,0.5362318840579711,0.8337837837837838
3,akr14831,rodriguez, alexander katelyn,alexander.rodriguez@univ.edu,0.97,0.97,0.81,0.8405797101449275,0.7189189189189189
4,alw07647,white, amy leslie,amy.white@univ.edu,0.99,0.95,0.99,0.7391304347826086,0.8378378378378378
5,amc28428,cooper, adam melvin,adam.cooper@univ.edu,0.65,0.63,0.9,0.8571428571428571,0.85
6,ara97741,adams, amy robert,amy.adams@univ.edu,0.87,0.74,0.76,0.7246376811594203,0.7297297297297297
7,asm59771,martin, ashley sara,ashley.martin@univ.edu,0.67,0.72,0.68,0.7857142857142857,0.7986486486486486
8,axc64717,curry, alec,alec.curry@univ.edu,0.65,0.78,0.83,0.7857142857142857,0.8756756756756757
9,axd11293,daniels, amber,amber.daniels@univ.edu,0.68,0.95,0.88,0.7101449275362319,0.8432432432432433
10,axd31221,dunlap, angela,angela.dunlap@univ.edu,0.82,0.64,0.92,0.6521739130434783,0.8094594594594594
11,axd67070,dunn, amy,amy.dunn@univ.edu,0.93,0.96,0.86,0.6811594202898551,0.7864864864864864
12,axf16145,foster, ashlee,ashlee.foster@univ.edu,0.73,0.61,0.74,0.8695652173913043,0.8337837837837838
13,axl60952,lester, aaron,aaron.lester@univ.edu,0.79,0.63,0.68,0.5942028985507246,0.8243243243243243
14,axm26865,miller, anthony,anthony.miller@univ.edu,0.73,0.68,0.93,0.8571428571428571,0.8
15,axw80146,warren, angela,angela.warren@univ.edu,0.7,0.84,0.78,0.7142857142857143,0.8121621621621622
16,bcf26283,flores, brandon chad,brandon.flores@univ.edu,0.96,0.93,0.65,0.7681159420289855,0.7810810810810811
17,bch39598,hunt, brett caroline,brett.hunt@univ.edu,0.85,0.72,0.89,0.8571428571428571,0.8162162162162162
18,bdp78944,powers, brooke david,brooke.powers@univ.edu,0.77,0.87,0.9,0.7391304347826086,0.7972972972972973
19,bgm86325,myers, brian gary,brian.myers@univ.edu,0.74,0.6,0.92,0.7101449275362319,0.7702702702702703
