,Last Name,First Name,Email,Grade ,Grade_2,Grade_3,Grade_4,Grade_5
0,lester,aaron,aaron.lester@univ.edu,6,9,10,8,8
1,cooper,adam,adam.cooper@univ.edu,4,10,16,7,12
2,curry,alec,alec.curry@univ.edu,9,9,9,12,11
3,rodriguez,alexander,alexander.rodriguez@univ.edu,11,13,16,11,7
4,daniels,amber,amber.daniels@univ.edu,7,15,16,5,6
5,adams,amy,amy.adams@univ.edu,9,11,12,8,10
6,white,amy,amy.white@univ.edu,7,14,15,11,4
7,terry,amy,amy.terry@univ.edu,4,12,9,5,7
8,dunn,amy,amy.dunn@univ.edu,10,12,6,13,6
9,smith,andrea,andrea.smith@univ.edu,5,10,7,12,12
10,warren,angela,angela.warren@univ.edu,8,14,10,5,10
11,dunlap,angela,angela.dunlap@univ.edu,6,11,11,11,6
12,miller,anthony,anthony.miller@univ.edu,9,8,13,7,12
13,greer,april,april.greer@univ.edu,8,11,13,13,12
14,foster,ashlee,ashlee.foster@univ.edu,5,12,17,14,12
15,martin,ashley,ashley.martin@univ.edu,5,7,8,13,11
16,reyes,bailey,bailey.reyes@univ.edu,10,15,17,6,7
17,bailey,belinda,belinda.bailey@univ.edu,6,10,9,14,4
18,graham,benjamin,benjamin.graham@univ.edu,7,15,6,6,7
19,sanders,beth,beth.sanders@univ.edu,4,12,9,10,9
20,schwartz,billy,billy.schwartz@univ.edu,11,12,11,10,9
21,bryan,bradley,bradley.bryan@univ.edu,10,12,8,10,8
22,thomas,brandon,brandon.thomas@univ.edu,7,10,13,8,4
23,flores,brandon,brandon.flores@univ.edu,7,15,11,13,7
24,reilly,brandy,brandy.reilly@univ.edu,5,13,6,14,10
25,hunt,brett,brett.hunt@univ.edu,4,11,16,7,12
26,miranda,brett,brett.miranda@univ.edu,11,9,15,11,8
27,myers,brian,brian.myers@univ.edu,9,10,15,8,7
28,powers,brooke,brooke.powers@univ.edu,6,10,17,10,8
29,dennis,cameron,cameron.dennis@univ.edu,4,6,13,5,4
30,watkins,carol,carol.watkins@univ.edu,6,6,11,5,5
31,reyes,carol,carol.reyes@univ.edu,5,15,8,14,6
32,campbell,charles,charles.campbell@univ.edu,5,15,14,14,8
33,allen,christina,christina.allen@univ.edu,10,12,14,14,8
34,nguyen,cindy,cindy.nguyen@univ.edu,7,10,6,10,10
35,hart,colleen,colleen.hart@univ.edu,6,6,17,9,7
36,wolf,courtney,courtney.wolf@univ.edu,10,15,9,7,9
