SID,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
bmb94857,belinda.bailey@univ.edu,3,Belinda,Bailey,60,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100,4,14,10,9,6,0.83,0.95,0.87,0.822972973,0.828186508,0.828186508,0.822972973,0.614973262,0.822972973,0.845166495,85,B
nsb43944,nathan.bates@univ.edu,3,Nathan,Bates,68,80,67,80,69,80,72,100,61,70,80,90,33,50,64,70,55,60,55,60,71,100,76,100,82,100,10,11,12,6,6,0.71,0.76,0.82,0.843243243,0.843793651,0.843793651,0.843243243,0.663488668,0.843243243,0.824990433,83,B
mxb67936,michael.benton@univ.edu,3,Michael,Benton,54,80,66,80,68,80,65,100,50,70,63,90,49,50,52,70,48,60,46,60,78,100,91,100,91,100,4,10,6,17,7,0.78,0.91,0.91,0.758108108,0.770380952,0.770380952,0.758108108,0.616796537,0.758108108,0.802084813,81,B
bxb28023,bradley.bryan@univ.edu,3,Bradley,Bryan,55,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100,8,10,12,8,10,0.96,0.82,0.66,0.852702703,0.852353175,0.852702703,0.852702703,0.712126305,0.852702703,0.825891892,83,B
sxc85021,scott.cervantes@univ.edu,3,Scott,Cervantes,51,80,70,80,65,80,78,100,65,70,68,90,45,50,66,70,55,60,56,60,60,100,100,100,89,100,9,12,8,9,4,0.6,1,0.89,0.836486486,0.848198413,0.848198413,0.836486486,0.606704864,0.836486486,0.853725311,86,B
jgc21028,jill.clark@univ.edu,3,Jill,Clark,70,80,71,80,52,80,96,100,56,70,71,90,36,50,55,70,53,60,50,60,62,100,94,100,88,100,4,11,6,14,9,0.62,0.94,0.88,0.824324324,0.818376984,0.824324324,0.824324324,0.63215177,0.824324324,0.834027027,84,B
lxd16906,luke.davidson@univ.edu,3,Luke,Davidson,49,80,77,80,77,80,94,100,45,70,69,90,40,50,53,70,55,60,55,60,92,100,62,100,60,100,5,8,14,14,7,0.92,0.62,0.6,0.82972973,0.82775,0.82972973,0.82972973,0.676264324,0.82972973,0.778810811,78,C
rxd55884,rachel.dennis@univ.edu,3,Rachel,Dennis,73,80,67,80,75,80,65,100,43,70,69,90,44,50,52,70,51,60,41,60,72,100,98,100,86,100,11,6,6,7,7,0.72,0.98,0.86,0.783783784,0.787464286,0.787464286,0.783783784,0.558673287,0.783783784,0.813120849,82,B
axd67070,amy.dunn@univ.edu,3,Amy,Dunn,72,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100,6,13,12,6,10,0.93,0.96,0.86,0.786486486,0.78522619,0.786486486,0.786486486,0.698120703,0.786486486,0.822040541,83,B
nxe44872,nicole.edwards@univ.edu,3,Nicole,Edwards,62,80,76,80,62,80,79,100,64,70,74,90,37,50,58,70,58,60,51,60,89,100,63,100,65,100,10,12,12,9,10,0.89,0.63,0.65,0.839189189,0.841174603,0.841174603,0.839189189,0.785795773,0.839189189,0.793226598,80,B
pxe53402,patricia.evans@univ.edu,3,Patricia,Evans,57,80,74,80,69,80,64,100,57,70,66,90,40,50,69,70,44,60,48,60,72,100,91,100,68,100,4,12,9,8,9,0.72,0.91,0.68,0.794594595,0.800666667,0.800666667,0.794594595,0.615849249,0.794594595,0.787645045,79,C
jgf12345,john.g.2.flower@univ.edu,3,Gregg,Flower,69,80,52,80,64,80,75,100,61,70,83,90,41,50,43,70,42,60,40,60,72,100,83,100,77,100,5,13,8,8,8,0.72,0.83,0.77,0.77027027,0.765710317,0.77027027,0.77027027,0.615286478,0.77027027,0.773689189,78,C
axf16145,ashlee.foster@univ.edu,3,Ashlee,Foster,79,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100,12,14,12,17,5,0.73,0.61,0.74,0.833783784,0.823369048,0.833783784,0.833783784,0.850909091,0.850909091,0.797286241,80,B
llf55044,linda.friedman@univ.edu,3,Linda,Friedman,49,80,70,80,62,80,83,100,58,70,79,90,42,50,60,70,54,60,42,60,64,100,86,100,70,100,8,5,9,8,10,0.64,0.86,0.7,0.809459459,0.809599206,0.809599206,0.809459459,0.600697734,0.809459459,0.78967752,79,C
abg77872,april.greer@univ.edu,3,April,Greer,61,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100,12,13,11,13,8,0.74,0.71,0.94,0.747297297,0.746626984,0.747297297,0.747297297,0.830776674,0.830776674,0.797151921,80,B
