SID,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points,Quiz 5,Quiz 4,Quiz 2,Quiz 3,Quiz 1,Exam 1 Score,Exam 2 Score,Exam 3 Score,Total Homework,Average Homework,Homework Score,Total Quizzes,Average Quizzes,Quiz Score,Final Score,Ceiling Score,Final Grade
ara97741,amy.adams@univ.edu,1,Amy,Adams,49,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100,10,8,11,12,9,0.87,0.74,0.76,0.72972973,0.741376984,0.741376984,0.72972973,0.732431882,0.732431882,0.747780358,75,C
cxa22039,christina.allen@univ.edu,1,Christina,Allen,63,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100,8,14,12,14,10,0.6,0.7,0.67,0.832432432,0.830424603,0.832432432,0.832432432,0.839857398,0.839857398,0.785430192,79,C
lxb98047,lucas.baldwin@univ.edu,1,Lucas,Baldwin,79,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100,11,12,10,9,7,0.83,0.74,0.97,0.856756757,0.846230159,0.856756757,0.856756757,0.721250318,0.856756757,0.86072973,87,B
wxb12345,woody.barrera_jr@univ.edu,1,Woody,Barrera,55,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100,10,7,10,11,4,0.86,0.62,0.9,0.808108108,0.799404762,0.808108108,0.808108108,0.602139037,0.808108108,0.805675676,81,B
jxb40799,john.bauer@univ.edu,1,John,Bauer,57,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100,8,9,7,13,4,0.64,0.88,0.92,0.843243243,0.837650794,0.843243243,0.843243243,0.580906544,0.843243243,0.84827027,85,B
djb29817,david.beck@univ.edu,1,David,Beck,62,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100,7,12,7,7,4,0.91,0.74,0.65,0.728378378,0.737757937,0.737757937,0.728378378,0.536508785,0.728378378,0.730616688,74,C
rjb91830,richard.bennett@univ.edu,1,Richard,Bennett,76,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100,10,8,6,9,10,0.66,0.97,0.88,0.82972973,0.827507937,0.82972973,0.82972973,0.648652916,0.82972973,0.842810811,85,B
cxd92501,cameron.dennis@univ.edu,1,Cameron,Dennis,75,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100,4,5,6,13,4,0.88,0.66,0.68,0.781081081,0.78690873,0.78690873,0.781081081,0.443763687,0.781081081,0.761087816,77,C
eed42850,emily.dudley@univ.edu,1,Emily,Dudley,53,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100,9,9,9,8,5,0.96,0.73,0.76,0.805405405,0.797543651,0.805405405,0.805405405,0.583598167,0.805405405,0.798783784,80,B
exd72538,erin.duffy@univ.edu,1,Erin,Duffy,66,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100,10,5,12,14,9,0.85,0.92,0.88,0.732432432,0.740436508,0.740436508,0.732432432,0.726437484,0.732432432,0.782404333,79,C
