NetID,Name,Last_Name,Email,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
abg77872,greer, april blake,APRIL.GREER@UNIV.EDU,April,Greer,61.0,80,62,80,67,80,65,100,58,70,68,90,30,50,46,70,60,60,36,60,74,100,71,100,94,100
aes07091,smith, andrea erica,ANDREA.SMITH@UNIV.EDU,Andrea,Smith,80.0,80,71,80,61,80,73,100,61,70,79,90,47,50,62,70,43,60,41,60,66,100,97,100,86,100
ajt73762,terry, amy justin,AMY.TERRY@UNIV.EDU,Amy,Terry,71.0,80,54,80,76,80,93,100,43,70,89,90,30,50,58,70,54,60,49,60,60,100,81,100,79,100
akr14831,rodriguez, alexander katelyn,ALEXANDER.RODRIGUEZ@UNIV.EDU,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100
alw07647,white, amy leslie,AMY.WHITE@UNIV.EDU,Amy,White,71.0,80,60,80,72,80,95,100,64,70,87,90,40,50,43,70,47,60,41,60,99,100,95,100,99,100
amc28428,cooper, adam melvin,ADAM.COOPER@UNIV.EDU,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100
ara97741,adams, amy robert,AMY.ADAMS@UNIV.EDU,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100
asm59771,martin, ashley sara,ASHLEY.MARTIN@UNIV.EDU,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100
axc64717,curry, alec,ALEC.CURRY@UNIV.EDU,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100
axd11293,daniels, amber,AMBER.DANIELS@UNIV.EDU,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100
axd31221,dunlap, angela,ANGELA.DUNLAP@UNIV.EDU,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100
axd67070,dunn, amy,AMY.DUNN@UNIV.EDU,Amy,Dunn,72.0,80,61,80,50,80,90,100,47,70,72,90,43,50,49,70,48,60,50,60,93,100,96,100,86,100
axf16145,foster, ashlee,ASHLEE.FOSTER@UNIV.EDU,Ashlee,Foster,79.0,80,78,80,74,80,81,100,63,70,75,90,38,50,45,70,41,60,43,60,73,100,61,100,74,100
axl60952,lester, aaron,AARON.LESTER@UNIV.EDU,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100
axm26865,miller, anthony,ANTHONY.MILLER@UNIV.EDU,Anthony,Miller,77.0,80,53,80,65,80,74,100,66,70,78,90,30,50,55,70,53,60,41,60,73,100,68,100,93,100
axw80146,warren, angela,ANGELA.WARREN@UNIV.EDU,Angela,Warren,54.0,80,62,80,59,80,77,100,59,70,85,90,44,50,55,70,58,60,48,60,70,100,84,100,78,100
bcf26283,flores, brandon chad,BRANDON.FLORES@UNIV.EDU,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100
bch39598,hunt, brett caroline,BRETT.HUNT@UNIV.EDU,Brett,Hunt,72.0,80,72,80,57,80,77,100,62,70,78,90,43,50,42,70,43,60,58,60,85,100,72,100,89,100
bdp78944,powers, brooke david,BROOKE.POWERS@UNIV.EDU,Brooke,Powers,80.0,80,60,80,53,80,66,100,46,70,85,90,45,50,54,70,44,60,57,60,77,100,87,100,90,100
bgm86325,myers, brian gary,BRIAN.MYERS@UNIV.EDU,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100
bjg14618,graham, benjamin james,BENJAMIN.GRAHAM@UNIV.EDU,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100
bkr19538,reilly, brandy kevin,BRANDY.REILLY@UNIV.EDU,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100
bmb94857,bailey, belinda michael,BELINDA.BAILEY@UNIV.EDU,Belinda,Bailey,60.0,80,74,80,55,80,76,100,64,70,83,90,44,50,45,70,50,60,58,60,83,100,95,100,87,100
bms82804,sanders, beth melissa,BETH.SANDERS@UNIV.EDU,Beth,Sanders,59.0,80,67,80,53,80,85,100,68,70,77,90,41,50,52,70,50,60,42,60,73,100,71,100,67,100
bxb28023,bryan, bradley,BRADLEY.BRYAN@UNIV.EDU,Bradley,Bryan,55.0,80,65,80,63,80,86,100,68,70,86,90,44,50,69,70,48,60,47,60,96,100,82,100,66,100
