First Name,Last Name,Email,Grade ,Grade_2,Grade_3,Grade_4,Grade_5
aaron,lester,aaron.lester@univ.edu,6,9,10,8,8
adam,cooper,adam.cooper@univ.edu,4,10,16,7,12
alec,curry,alec.curry@univ.edu,9,9,9,12,11
alexander,rodriguez,alexander.rodriguez@univ.edu,11,13,16,11,7
amber,daniels,amber.daniels@univ.edu,7,15,16,5,6
amy,adams,amy.adams@univ.edu,9,14,12,8,7
amy,adams,amy.adams@univ.edu,9,14,12,8,6
amy,adams,amy.adams@univ.edu,9,14,12,8,4
amy,adams,amy.adams@univ.edu,9,14,12,8,10
amy,adams,amy.adams@univ.edu,9,14,12,11,7
amy,adams,amy.adams@univ.edu,9,14,12,11,6
amy,adams,amy.adams@univ.edu,9,14,12,11,4
amy,adams,amy.adams@univ.edu,9,14,12,11,10
amy,adams,amy.adams@univ.edu,9,14,12,5,7
amy,adams,amy.adams@univ.edu,9,14,12,5,6
amy,adams,amy.adams@univ.edu,9,14,12,5,4
amy,adams,amy.adams@univ.edu,9,14,12,5,10
amy,adams,amy.adams@univ.edu,9,14,12,13,7
amy,adams,amy.adams@univ.edu,9,14,12,13,6
amy,adams,amy.adams@univ.edu,9,14,12,13,4
amy,adams,amy.adams@univ.edu,9,14,12,13,10
amy,adams,amy.adams@univ.edu,9,14,15,8,7
amy,adams,amy.adams@univ.edu,9,14,15,8,6
amy,adams,amy.adams@univ.edu,9,14,15,8,4
amy,adams,amy.adams@univ.edu,9,14,15,8,10
amy,adams,amy.adams@univ.edu,9,14,15,11,7
amy,adams,amy.adams@univ.edu,9,14,15,11,6
amy,adams,amy.adams@univ.edu,9,14,15,11,4
amy,adams,amy.adams@univ.edu,9,14,15,11,10
amy,adams,amy.adams@univ.edu,9,14,15,5,7
amy,adams,amy.adams@univ.edu,9,14,15,5,6
amy,adams,amy.adams@univ.edu,9,14,15,5,4
amy,adams,amy.adams@univ.edu,9,14,15,5,10
amy,adams,amy.adams@univ.edu,9,14,15,13,7
amy,adams,amy.adams@univ.edu,9,14,15,13,6
amy,adams,amy.adams@univ.edu,9,14,15,13,4
amy,adams,amy.adams@univ.edu,9,14,15,13,10
amy,adams,amy.adams@univ.edu,9,14,9,8,7
amy,adams,amy.adams@univ.edu,9,14,9,8,6
amy,adams,amy.adams@univ.edu,9,14,9,8,4
amy,adams,amy.adams@univ.edu,9,14,9,8,10
amy,adams,amy.adams@univ.edu,9,14,9,11,7
amy,adams,amy.adams@univ.edu,9,14,9,11,6
amy,adams,amy.adams@univ.edu,9,14,9,11,4
amy,adams,amy.adams@univ.edu,9,14,9,11,10
amy,adams,amy.adams@univ.edu,9,14,9,5,7
amy,adams,amy.adams@univ.edu,9,14,9,5,6
amy,adams,amy.adams@univ.edu,9,14,9,5,4
amy,adams,amy.adams@univ.edu,9,14,9,5,10
amy,adams,amy.adams@univ.edu,9,14,9,13,7
amy,adams,amy.adams@univ.edu,9,14,9,13,6
amy,adams,amy.adams@univ.edu,9,14,9,13,4
amy,adams,amy.adams@univ.edu,9,14,9,13,10
amy,adams,amy.adams@univ.edu,9,14,6,8,7
amy,adams,amy.adams@univ.edu,9,14,6,8,6
amy,adams,amy.adams@univ.edu,9,14,6,8,4
amy,adams,amy.adams@univ.edu,9,14,6,8,10
amy,adams,amy.adams@univ.edu,9,14,6,11,7
amy,adams,amy.adams@univ.edu,9,14,6,11,6
amy,adams,amy.adams@univ.edu,9,14,6,11,4
amy,adams,amy.adams@univ.edu,9,14,6,11,10
amy,adams,amy.adams@univ.edu,9,14,6,5,7
amy,adams,amy.adams@univ.edu,9,14,6,5,6
amy,adams,amy.adams@univ.edu,9,14,6,5,4
amy,adams,amy.adams@univ.edu,9,14,6,5,10
amy,adams,amy.adams@univ.edu,9,14,6,13,7
amy,adams,amy.adams@univ.edu,9,14,6,13,6
amy,adams,amy.adams@univ.edu,9,14,6,13,4
amy,adams,amy.adams@univ.edu,9,14,6,13,10
amy,adams,amy.adams@univ.edu,9,11,12,8,7
amy,adams,amy.adams@univ.edu,9,11,12,8,6
amy,adams,amy.adams@univ.edu,9,11,12,8,4
amy,adams,amy.adams@univ.edu,9,11,12,8,10
amy,adams,amy.adams@univ.edu,9,11,12,11,7
amy,adams,amy.adams@univ.edu,9,11,12,11,6
amy,adams,amy.adams@univ.edu,9,11,12,11,4
amy,adams,amy.adams@univ.edu,9,11,12,11,10
amy,adams,amy.adams@univ.edu,9,11,12,5,7
amy,adams,amy.adams@univ.edu,9,11,12,5,6
amy,adams,amy.adams@univ.edu,9,11,12,5,4
amy,adams,amy.adams@univ.edu,9,11,12,5,10
amy,adams,amy.adams@univ.edu,9,11,12,13,7
amy,adams,amy.adams@univ.edu,9,11,12,13,6
amy,adams,amy.adams@univ.edu,9,11,12,13,4
amy,adams,amy.adams@univ.edu,9,11,12,13,10
amy,adams,amy.adams@univ.edu,9,11,15,8,7
amy,adams,amy.adams@univ.edu,9,11,15,8,6
amy,adams,amy.adams@univ.edu,9,11,15,8,4
amy,adams,amy.adams@univ.edu,9,11,15,8,10
amy,adams,amy.adams@univ.edu,9,11,15,11,7
amy,adams,amy.adams@univ.edu,9,11,15,11,6
amy,adams,amy.adams@univ.edu,9,11,15,11,4
amy,adams,amy.adams@univ.edu,9,11,15,11,10
amy,adams,amy.adams@univ.edu,9,11,15,5,7
amy,adams,amy.adams@univ.edu,9,11,15,5,6
amy,adams,amy.adams@univ.edu,9,11,15,5,4
amy,adams,amy.adams@univ.edu,9,11,15,5,10
amy,adams,amy.adams@univ.edu,9,11,15,13,7
amy,adams,amy.adams@univ.edu,9,11,15,13,6
amy,adams,amy.adams@univ.edu,9,11,15,13,4
amy,adams,amy.adams@univ.edu,9,11,15,13,10
amy,adams,amy.adams@univ.edu,9,11,9,8,7
amy,adams,amy.adams@univ.edu,9,11,9,8,6
amy,adams,amy.adams@univ.edu,9,11,9,8,4
amy,adams,amy.adams@univ.edu,9,11,9,8,10
amy,adams,amy.adams@univ.edu,9,11,9,11,7
amy,adams,amy.adams@univ.edu,9,11,9,11,6
amy,adams,amy.adams@univ.edu,9,11,9,11,4
amy,adams,amy.adams@univ.edu,9,11,9,11,10
amy,adams,amy.adams@univ.edu,9,11,9,5,7
amy,adams,amy.adams@univ.edu,9,11,9,5,6
amy,adams,amy.adams@univ.edu,9,11,9,5,4
amy,adams,amy.adams@univ.edu,9,11,9,5,10
amy,adams,amy.adams@univ.edu,9,11,9,13,7
amy,adams,amy.adams@univ.edu,9,11,9,13,6
amy,adams,amy.adams@univ.edu,9,11,9,13,4
amy,adams,amy.adams@univ.edu,9,11,9,13,10
amy,adams,amy.adams@univ.edu,9,11,6,8,7
amy,adams,amy.adams@univ.edu,9,11,6,8,6
amy,adams,amy.adams@univ.edu,9,11,6,8,4
amy,adams,amy.adams@univ.edu,9,11,6,8,10
amy,adams,amy.adams@univ.edu,9,11,6,11,7
amy,adams,amy.adams@univ.edu,9,11,6,11,6
amy,adams,amy.adams@univ.edu,9,11,6,11,4
amy,adams,amy.adams@univ.edu,9,11,6,11,10
amy,adams,amy.adams@univ.edu,9,11,6,5,7
amy,adams,amy.adams@univ.edu,9,11,6,5,6
amy,adams,amy.adams@univ.edu,9,11,6,5,4
amy,adams,amy.adams@univ.edu,9,11,6,5,10
amy,adams,amy.adams@univ.edu,9,11,6,13,7
amy,adams,amy.adams@univ.edu,9,11,6,13,6
amy,adams,amy.adams@univ.edu,9,11,6,13,4
amy,adams,amy.adams@univ.edu,9,11,6,13,10
amy,adams,amy.adams@univ.edu,9,12,12,8,7
amy,adams,amy.adams@univ.edu,9,12,12,8,6
amy,adams,amy.adams@univ.edu,9,12,12,8,4
amy,adams,amy.adams@univ.edu,9,12,12,8,10
amy,adams,amy.adams@univ.edu,9,12,12,11,7
amy,adams,amy.adams@univ.edu,9,12,12,11,6
amy,adams,amy.adams@univ.edu,9,12,12,11,4
amy,adams,amy.adams@univ.edu,9,12,12,11,10
amy,adams,amy.adams@univ.edu,9,12,12,5,7
amy,adams,amy.adams@univ.edu,9,12,12,5,6
amy,adams,amy.adams@univ.edu,9,12,12,5,4
amy,adams,amy.adams@univ.edu,9,12,12,5,10
amy,adams,amy.adams@univ.edu,9,12,12,13,7
amy,adams,amy.adams@univ.edu,9,12,12,13,6
amy,adams,amy.adams@univ.edu,9,12,12,13,4
